n03400231,n04596742,n03259280,n07590611,n07583066
n07871810,n07831146,n03133878,n07873807,n07880968
n09246464,n09421951,n02894605,n09428293,n03160309
n02114367,n02114855,n02114548,n02090721,n02091467
n04049303,n02939185,n03764736,n03775546,n03786901
n04392985,n02892201,n04041544,n03642806,n03782006
n02494079,n02493509,n02493793,n02483362,n02488291
n03944341,n01675722,n01924916,n04153751,n04127249
n02777292,n04540053,n03970156,n03888605,n03535780
n04286575,n03109150,n04067472,n02841315,n03063689
n07711569,n07579787,n07880968,n07831146,n04476259
n02457408,n02487347,n02486261,n01608432,n02486410
n04254680,n03063689,n03724870,n04540053,n04118538
n02825657,n03028079,n02708093,n03781244,n03388043
n03498962,n03481172,n03041632,n03954731,n04208210
n02883205,n04591157,n03630383,n03110669,n04141076
n01601694,n02444819,n01806567,n01695060,n02172182
n02105251,n02095889,n02106382,n02124075,n02097298
n04005630,n02356798,n02092002,n02443484,n02096294
n02056570,n02071294,n03710721,n03710637,n02096585
n01775062,n01773549,n01773797,n01774750,n01774384
n03534580,n03125729,n03866082,n02804414,n03188531
n02090379,n02099849,n02087394,n02091032,n02100583
n04192698,n04254680,n04118538,n09835506,n02799071
n01917289,n04599235,n04525038,n03207743,n03773504
n04111531,n04270147,n02776631,n03041632,n03461385
n02007558,n02006656,n02002556,n01440764,n03788365
n02749479,n04086273,n04090263,n03527444,n02916936
n02843684,n04523525,n09246464,n04606251,n03697007
n13037406,n12985857,n12267677,n13044778,n13052670
n04200800,n02791124,n04081281,n02791270,n03992509
n03000684,n03697007,n03967562,n03785016,n04465501
n03992509,n02927161,n13044778,n13052670,n07718747
n02488702,n02483708,n02483362,n02500267,n02484975
n04553703,n04380533,n02808440,n03376595,n04099969
n03887697,n15075141,n04131690,n04254120,n03843555
n01689811,n03530642,n01784675,n01740131,n01675722
n03450230,n03534580,n02077923,n04371430,n04357314
n02841315,n03891332,n02950826,n04067472,n04562935
n02100877,n02099267,n02396427,n02105412,n02114712
n04023962,n02795169,n02807133,n02977058,n03255030
n02787622,n02676566,n02992211,n03721384,n04482393
n03873416,n04273569,n02951358,n02259212,n02981792
n02837789,n04136333,n03770439,n03710637,n03535780
n02123394,n02097047,n02086910,n02096177,n02105855
n04482393,n03814906,n03942813,n03791053,n03720891
n03085013,n03832673,n04264628,n02666196,n04542943
n02096177,n02098286,n02096294,n02094258,n02097298
n04380533,n03637318,n02906734,n04254120,n03970156
n02979186,n03832673,n04392985,n02988304,n04041544
n07584110,n04263257,n03063599,n03775546,n07920052
n02927161,n03775071,n03775546,n03776460,n03777568
n02930766,n04146614,n04065272,n03272010,n03895866
n02093428,n02099849,n02093256,n02087394,n02108089
n03457902,n03930313,n03891251,n04604644,n03733281
n03372029,n03976657,n03467068,n03838899,n02804610
n03857828,n03782006,n04152593,n03492542,n03180011
n01872401,n01755581,n01729322,n02319095,n02346627
n03337140,n03016953,n03014705,n03127925,n03018349
n02980441,n03837869,n02825657,n03160309,n03781244
n02088364,n02102177,n02086646,n02088238,n02089973
n02509815,n02486261,n01440764,n03775071,n03775546
n02097047,n02086240,n02097209,n02097474,n02110627
n02992529,n04074963,n03793489,n04141975,n04041544
n03457902,n03930313,n02843684,n01833805,n03991062
n03450230,n03866082,n03534580,n03958227,n02009912
n02279972,n02206856,n02276258,n02277742,n02280649
n01776313,n01644373,n04277352,n01770393,n02256656
n03530642,n03000134,n04332243,n02607072,n01917289
n01518878,n02012849,n02051845,n01616318,n02493509
n04483307,n04612504,n02981792,n03344393,n04147183
n04033901,n04376876,n04154565,n03794056,n03692522
n07749582,n07716906,n07747607,n07717556,n07753592
n02917067,n03670208,n02814533,n03100240,n04037443
n04131690,n03146219,n03623198,n02895154,n04423845
n02233338,n02276258,n01608432,n01985128,n03838899
n04355933,n04597913,n03793489,n03633091,n03840681
n03594945,n03930630,n04467665,n04461696,n03272562
n02259212,n01773797,n02190166,n02256656,n02268443
n02999410,n03627232,n03874599,n03532672,n03804744
n02115913,n02093991,n02115641,n02114712,n02119022
n02037110,n02408429,n02002724,n01860187,n02017213
n03788365,n03388549,n04033995,n03125729,n03958227
n03710721,n03710637,n03623198,n04371430,n04136333
n02110063,n02109961,n02110185,n04026417,n03776460
n04039381,n03873416,n04209133,n02807133,n02641379
n03877845,n02825657,n03028079,n03781244,n02980441
n01775062,n01774750,n12620546,n02219486,n02643566
n02095889,n02098105,n02097209,n02095570,n02097047
n02747177,n04553703,n02704792,n04493381,n04311174
n02445715,n02105855,n02123597,n02328150,n02443484
n03218198,n04252077,n04228054,n02094433,n04019541
n03697007,n02860847,n02807133,n02536864,n02749479
n04462240,n02782093,n03720891,n03461385,n03089624
n03180011,n04152593,n03832673,n03782006,n04404412
n02108422,n02108089,n02087394,n02090379,n02088364
n03425413,n04330267,n04125021,n04070727,n03710193
n02504458,n02504013,n02437312,n01871265,n02088466
n04591157,n03877472,n04033995,n04026417,n04371430
n02087046,n02110806,n02091244,n02115641,n02085620
n03976467,n04009552,n04069434,n02988304,n03891332
n02091032,n02091134,n02106166,n02093256,n02093428
n04592741,n02690373,n04258138,n02687172,n04552348
n02091244,n02087046,n02091134,n02110185,n02089867
n01819313,n02009912,n01614925,n02006656,n02051845
n02206856,n12985857,n12144580,n13133613,n11939491
n03297495,n04447861,n03691459,n02977058,n04009552
n04462240,n04070727,n03089624,n04443257,n04200800
n03633091,n04591713,n04074963,n01728920,n01944390
n02105855,n02112350,n02112018,n02106030,n02086079
n04125021,n04041544,n03857828,n02988304,n04372370
n02119022,n02119789,n02114712,n02120505,n02509815
n01644373,n01644900,n01682714,n01739381,n01693334
n03216828,n02687172,n02859443,n04266014,n09332890
n03478589,n02704792,n03417042,n04461696,n04428191
n03763968,n04350905,n03976657,n03873416,n09835506
n07590611,n07714990,n04596742,n07579787,n04263257
n01847000,n02056570,n01440764,n03775546,n03776460
n02317335,n01704323,n01945685,n02107142,n02107312
n07745940,n03944341,n03991062,n04522168,n02281406
n03843555,n04579432,n03876231,n07892512,n03908714
n02086910,n02085782,n02085620,n02106166,n02113023
n02088364,n02088238,n02089867,n02089973,n02091831
n03804744,n02229544,n02168699,n02226429,n01689811
n03976467,n04009552,n03691459,n03887697,n04041544
n07697313,n07697537,n07734744,n13054560,n07579787
n03743016,n07802026,n02950826,n04552348,n02692877
n04086273,n04090263,n02951585,n02749479,n03481172
n04200800,n03598930,n02950826,n04090263,n02749479
n01443537,n01632777,n03457902,n01819313,n07753275
n03529860,n04070727,n03691459,n04152593,n03179701
n03404251,n02486410,n02494079,n02492035,n02443484
n02790996,n03255030,n04204347,n04286575,n04485082
n04590129,n04344873,n03529860,n10148035,n02776631
n04311174,n02807133,n04336792,n09421951,n03899768
n02437616,n02094258,n02093991,n02095570,n02094114
n03924679,n02971356,n04004767,n04009552,n03127925
n03478589,n04389033,n04465501,n02704792,n04179913
n04517823,n04336792,n04311174,n03141823,n03249569
n01774384,n02168699,n02169497,n01773549,n01770081
n02277742,n02281787,n02280649,n02190166,n13044778
n01980166,n01784675,n01770393,n01985128,n02268443
n02951358,n03873416,n02807133,n03444034,n04273569
n02823428,n04557648,n03983396,n03062245,n04591713
n03843555,n04423845,n04265275,n02672831,n03482405
n02091244,n01877812,n02412080,n02395406,n02115641
n01592084,n01534433,n01582220,n01560419,n01855672
n02412080,n02415577,n01440764,n03775071,n03775546
n02125311,n02127052,n02123597,n02487347,n02129165
n03888257,n03773504,n04008634,n04552348,n04456115
n04462240,n03014705,n04548362,n03871628,n03598930
n02096437,n02113624,n02113712,n02098413,n02094114
n03743016,n09246464,n07802026,n01440764,n03775546
n04118776,n04238763,n03857828,n04041544,n03032252
n03992509,n02398521,n03786901,n02939185,n04355338
n07711569,n07614500,n07871810,n07880968,n07579787
n01694178,n01677366,n01667778,n01698640,n01697457
n01744401,n01742172,n01729322,n01667778,n01740131
n04229816,n03868863,n03825788,n03724870,n03424325
n10565667,n04251144,n02860847,n09229709,n04067472
n01829413,n01843383,n02007558,n03976657,n01828970
n01860187,n02018207,n01847000,n01855032,n02017213
n03127925,n04070727,n04501370,n03710193,n02977058
n04380533,n03637318,n03291819,n02840245,n02786058
n04380533,n03637318,n02843684,n03840681,n02782093
n02088238,n02088364,n02089867,n02102177,n02089973
n04509417,n03976657,n03379051,n04540053,n04118538
n02101006,n02106550,n02108551,n02100735,n02089078
n02110958,n02112706,n02108915,n02108422,n02108089
n01820546,n01828970,n01818515,n01843383,n02017213
n03223299,n02104365,n02107683,n02106550,n02107574
n03874293,n04487394,n04311004,n04606251,n01984695
n02229544,n02226429,n02236044,n02231487,n02264363
n02786058,n04116512,n03908618,n03666591,n03871628
n04376876,n04153751,n04086273,n03250847,n03838899
n04147183,n04612504,n04483307,n02981792,n03947888
n03393912,n03347037,n04462240,n03721384,n04081281
n02655020,n01667778,n01664065,n01641577,n02356798
n02492035,n02138441,n02123045,n02325366,n02342885
n02415577,n02417914,n02412080,n02099849,n02486410
n03891332,n03710193,n02747177,n04591713,n04229816
n03673027,n04606251,n03216828,n02687172,n02704792
n02328150,n02123597,n02437616,n02086079,n02086240
n02363005,n02356798,n02326432,n02442845,n01532829
n04209133,n02786058,n02807133,n04357314,n04591157
n04065272,n03417042,n04461696,n03796401,n03977966
n04462240,n02776631,n03089624,n04200800,n04070727
n02114548,n02104029,n02098286,n02111889,n02111500
n04229816,n04355933,n04356056,n03724870,n02807133
n12620546,n12057211,n07745940,n07747607,n07720875
n04277352,n04597913,n03481172,n03786901,n01944390
n02091831,n02091134,n02105412,n02088632,n02088466
n01704323,n07836838,n03124170,n02233338,n02992211
n01697457,n01698640,n02447366,n02137549,n01796340
n02094433,n02096294,n02097658,n02094114,n02094258
n02110958,n02108915,n02108422,n01440764,n03791053
n02092339,n02099712,n02109047,n02099849,n02093428
n01748264,n01740131,n01728920,n01729322,n01728572
n02085620,n02110341,n04399382,n02108915,n02808440
n02791270,n02791124,n04200800,n02871525,n03124170
n01534433,n01582220,n01560419,n01592084,n01580077
n07715103,n02747177,n04152593,n04560804,n07716358
n03814906,n03476684,n01924916,n02877765,n03530642
n02708093,n04548280,n04141975,n03841143,n03706229
n01955084,n01740131,n01729322,n01753488,n03786901
n01580077,n01592084,n01582220,n01833805,n01560419
n01592084,n01580077,n01582220,n03535780,n02777292
n03602883,n03297495,n03691459,n04286575,n04330267
n04443257,n02871525,n04525305,n02977058,n02791270
n04461696,n04037443,n03930630,n03594945,n04467665
n02086910,n02085620,n02112018,n02113023,n02086646
n13040303,n13044778,n12998815,n07734744,n13054560
n07749582,n07742313,n07747607,n07716906,n07753113
n01770081,n01784675,n01728572,n01728920,n03804744
n01985128,n13044778,n12768682,n01784675,n12620546
n03792972,n09428293,n02793495,n09246464,n09332890
n01773549,n01775062,n01770081,n01773157,n01774384
n02403003,n03868242,n02090379,n02100583,n02087394
n03770679,n03769881,n02974003,n02814533,n02701002
n01644373,n01644900,n01641577,n01440764,n07754684
n02966193,n04462240,n03724870,n03047690,n02699494
n02966687,n03476991,n04200800,n03876231,n04067472
n02095570,n02095314,n02094433,n02094114,n02094258
n03297495,n04254120,n02708093,n04372370,n03761084
n01614925,n01608432,n02051845,n01616318,n01824575
n01440764,n02514041,n02640242,n02536864,n03763968
n03599486,n02791270,n03372029,n04118538,n03642806
n02097474,n02105641,n02088094,n02090622,n02105251
n03125729,n02804414,n03131574,n02808304,n02869837
n02823428,n03590841,n04120489,n04254680,n03425413
n01697457,n01692333,n01734418,n01698640,n03627232
n03443371,n03063689,n03249569,n04380533,n03637318
n03794056,n03954731,n03494278,n03666591,n03584829
n02231487,n02236044,n02229544,n01770081,n02219486
n02134418,n02104365,n02480855,n02105056,n02133161
n02787622,n03250847,n03633091,n04270147,n03249569
n03425413,n03874599,n04372370,n04179913,n03710193
n02111889,n02111500,n02104029,n02085936,n02112018
n01632458,n01629819,n01630670,n01924916,n01950731
n02110806,n02091244,n02115641,n01440764,n03776460
n04517823,n03584829,n03777754,n04004767,n03297495
n03063689,n04398044,n03063599,n04560804,n07920052
n04417672,n03457902,n02843684,n03891251,n04435653
n07747607,n07749582,n04597913,n04263257,n07717556
n04347754,n03095699,n02704792,n02687172,n03216828
n04147183,n03947888,n04612504,n04592741,n03447447
n02481823,n02484975,n02480855,n02490219,n02493509
n02489166,n02487347,n02486261,n02488291,n02486410
n03393912,n04125021,n04550184,n01440764,n03775071
n03018349,n03761084,n04081281,n04443257,n03179701
n04154565,n02930766,n04591713,n04296562,n03843555
n02769748,n03709823,n04591157,n03045698,n04370456
n02168699,n01774384,n01773549,n01775062,n01770081
n04023962,n03759954,n03995372,n02790996,n03483316
n03457902,n02699494,n03991062,n03930313,n03026506
n07873807,n13052670,n01950731,n03530642,n02219486
n01882714,n02484975,n02493509,n01440764,n03775071
n03127747,n03379051,n04019541,n03983396,n03803284
n02088632,n02100236,n02110958,n02096585,n02087046
n04239074,n04590129,n04201297,n03018349,n04589890
n12768682,n01943899,n02174001,n01986214,n12267677
n07715103,n07720875,n07718472,n13133613,n12267677
n02410509,n02447366,n02493509,n02108551,n02111129
n03891332,n03197337,n03196217,n03710193,n02977058
n01728572,n01728920,n01630670,n01740131,n01632458
n02091134,n02091032,n02099712,n02091831,n02093428
n01820546,n01828970,n01818515,n01843383,n01440764
n01739381,n02231487,n01682714,n07742313,n07753113
n02917067,n04554684,n03895866,n04592741,n03670208
n04591157,n02916936,n03958227,n01494475,n04350905
n07880968,n07697313,n07753275,n07614500,n04462240
n01629819,n01945685,n01728920,n02999410,n01978455
n02835271,n03792782,n03785016,n01440764,n03775546
n02786058,n02951585,n03666591,n03692522,n01728572
n02966687,n04154565,n03255030,n03481172,n04270147
n02094114,n02097474,n02097658,n02105251,n02096051
n02106030,n02105855,n02106166,n01440764,n03776460
n03384352,n03417042,n04465501,n04461696,n03467068
n01945685,n03481172,n02174001,n02056570,n01630670
n03443371,n07714571,n07718472,n03775546,n04522168
n04350905,n04370456,n04485082,n03141823,n03980874
n02817516,n04487394,n09835506,n02879718,n03494278
n01985128,n01978287,n01981276,n01978455,n01984695
n03124170,n04259630,n04209133,n02869837,n02791270
n02094258,n02096294,n02094433,n02112018,n02096177
n02077923,n02113978,n02480855,n02408429,n02093256
n03445777,n04258138,n03447721,n03017168,n03134739
n03763968,n03494278,n03127747,n03481172,n03814639
n03188531,n03825788,n04376876,n02804414,n03876231
n02493793,n02500267,n02483708,n02492035,n02493509
n07720875,n07693725,n07697537,n07745940,n07579787
n03482405,n03127925,n03887697,n04548362,n03291819
n01622779,n01440764,n03775071,n03775546,n03776460
n03832673,n04141975,n03642806,n03777754,n04152593
n02018207,n01855032,n02037110,n01847000,n03776460
n02066245,n02894605,n09428293,n09472597,n09421951
n03670208,n03445924,n04487081,n03977966,n02814533
n04131690,n04070727,n03666591,n02823750,n03871628
n02017213,n01797886,n01847000,n02002724,n01795545
n02134084,n02111500,n02114548,n02415577,n02396427
n04141327,n04548362,n04026417,n02783161,n03908618
n02097474,n02105251,n02097209,n02097658,n02098105
n02447366,n02443114,n02445715,n02356798,n02361337
n01950731,n01630670,n03530642,n02877765,n01632458
n03792782,n02835271,n04482393,n03785016,n04509417
n01443537,n01950731,n02607072,n01632777,n02206856
n04116512,n03729826,n01943899,n03666591,n01968897
n04522168,n02795169,n04192698,n04049303,n02823428
n12144580,n13133613,n07753592,n07614500,n07697537
n03891251,n03776460,n09332890,n03899768,n04204347
n02100735,n02097474,n02099601,n02106166,n02110958
n03249569,n04067472,n02879718,n03649909,n03976657
n04179913,n04008634,n04090263,n04067472,n03773504
n03216828,n03095699,n04347754,n04483307,n02981792
n04467665,n04065272,n03345487,n02701002,n03796401
n01877812,n02116738,n02105162,n02437616,n02114855
n07932039,n04263257,n07614500,n03775546,n07920052
n02105162,n02105412,n01877812,n02115641,n02115913
n04456115,n02948072,n03388043,n09472597,n03775071
n04332243,n04286575,n03692522,n04596742,n03400231
n04613696,n02747177,n04049303,n03991062,n04208210
n03476991,n03110669,n04141076,n02804610,n03838899
n02101556,n02100735,n02134084,n02415577,n02111500
n07802026,n03160309,n03697007,n02410509,n13054560
n03291819,n02971356,n03871628,n02840245,n04548362
n01694178,n01688243,n01693334,n01644373,n01677366
n02396427,n02397096,n01877812,n02408429,n02395406
n09229709,n04296562,n03272010,n02948072,n03759954
n02704792,n02077923,n09246464,n04273569,n02894605
n02027492,n01601694,n02006656,n12267677,n02091032
n03384352,n03417042,n03445924,n03796401,n04461696
n03476991,n03250847,n03325584,n02837789,n10148035
n02165456,n02169497,n01440764,n03776460,n03777568
n04118538,n04336792,n02860847,n04192698,n03594734
n04540053,n02802426,n02879718,n03535780,n02790996
n09428293,n09421951,n04507155,n03141823,n04509417
n01775062,n02168699,n02177972,n01773549,n01770081
n02106662,n02105162,n02091467,n02105412,n02104365
n03259280,n02939185,n03400231,n04596742,n07590611
n03733131,n03355925,n01518878,n03976657,n03873416
n04152593,n02840245,n03782006,n04404412,n03180011
n01950731,n01924916,n07873807,n02607072,n01751748
n01945685,n01944390,n01980166,n02526121,n01630670
n02894605,n09428293,n09332890,n09399592,n03976657
n03937543,n04116512,n03871628,n03482405,n02871525
n02786058,n04584207,n03483316,n04370456,n03124170
n03721384,n03661043,n03452741,n04081281,n04515003
n04285008,n02930766,n03100240,n04037443,n02974003
n03485794,n04590129,n02730930,n03871628,n04238763
n01784675,n01737021,n01734418,n01740131,n01751748
n04428191,n04310018,n04465501,n04389033,n03478589
n02092002,n02090721,n02097209,n02096437,n02097047
n04070727,n03742115,n03207941,n03133878,n04330267
n03376595,n04099969,n03961711,n04380533,n04332243
n03026506,n01514668,n03958227,n02869837,n03775071
n03291819,n02971356,n02840245,n03916031,n04476259
n02106030,n02105855,n02106166,n02086910,n02113186
n04131690,n04557648,n03983396,n03916031,n04254120
n01847000,n01807496,n01843383,n01829413,n02051845
n03527444,n03874599,n03478589,n03794056,n04086273
n12985857,n13052670,n13040303,n09246464,n13037406
n02488702,n02445715,n02500267,n02493509,n02492660
n01872401,n02013706,n02363005,n01440764,n03776460
n02992211,n04536866,n02787622,n03394916,n03884397
n01806567,n01531178,n01580077,n01582220,n01560419
n01917289,n09256479,n01496331,n02655020,n02526121
n03444034,n04037443,n03445924,n03649909,n04285008
n01776313,n01773549,n01770393,n01784675,n01773797
n02814533,n03930630,n03459775,n02930766,n03670208
n04515003,n03127925,n02672831,n04404412,n02978881
n04380533,n04254120,n03970156,n03637318,n04286575
n02113978,n02109047,n02091831,n02087046,n02091134
n02165456,n02169497,n01774384,n03666591,n01950731
n04548280,n03271574,n02708093,n04286575,n04540053
n02917067,n04335435,n02860847,n01440764,n03775546
n01828970,n01560419,n01531178,n01824575,n01843065
n02825657,n02980441,n03028079,n04435653,n03781244
n04552348,n03773504,n04008634,n02690373,n04592741
n04553703,n03065424,n02788148,n02708093,n04141975
n02190166,n02169497,n02165105,n02256656,n02268443
n03447721,n03065424,n01930112,n01944390,n01776313
n02825657,n03028079,n02843684,n02980441,n04523525
n01693334,n03991062,n01677366,n01682714,n02236044
n02877765,n04019541,n04118538,n02860847,n04548280
n09288635,n09428293,n02894605,n09421951,n04592741
n12267677,n07754684,n07753113,n07749582,n07760859
n02280649,n11939491,n02009912,n02281406,n01819313
n03085013,n04264628,n03832673,n06785654,n03642806
n03344393,n04592741,n03788365,n04273569,n09193705
n02002724,n02037110,n02028035,n01855032,n02017213
n01641577,n01644900,n01677366,n01667778,n01644373
n02259212,n02256656,n01644373,n02229544,n01693334
n01532829,n01534433,n01824575,n01560419,n01608432
n03854065,n03032252,n03141823,n04019541,n03775071
n02883205,n03272010,n04370456,n03787032,n04479046
n03208938,n03868863,n02951585,n04131690,n04423845
n03127925,n02971356,n03337140,n03014705,n03954731
n01592084,n01534433,n01582220,n01580077,n01560419
n01728572,n02783161,n01728920,n04579432,n04127249
n01774750,n03729826,n04019541,n02206856,n02219486
n02403003,n03868242,n03803284,n02422699,n02129604
n04485082,n04228054,n04019541,n04229816,n04192698
n03337140,n04125021,n03924679,n04004767,n02971356
n03124043,n04133789,n03146219,n04522168,n03623198
n03290653,n03761084,n03529860,n04404412,n04589890
n01530575,n02488291,n02486261,n01608432,n02493793
n03602883,n04505470,n04264628,n03908618,n03709823
n04553703,n04254120,n03903868,n04332243,n04286575
n02107908,n02107574,n02107683,n02108000,n02100735
n02134418,n01774750,n02138441,n02346627,n03042490
n12620546,n02165456,n01440764,n03775546,n03776460
n04086273,n03498962,n03995372,n03527444,n02841315
n04264628,n03179701,n02966687,n03602883,n04069434
n01582220,n01828970,n02002724,n01824575,n01580077
n03485407,n02992529,n03197337,n03775546,n03776460
n02669723,n04507155,n04311174,n02817516,n03787032
n07768694,n07613480,n07873807,n07614500,n03590841
n03180011,n03782006,n03179701,n04152593,n03793489
n02114548,n02120079,n02114367,n02111500,n02104029
n11939491,n02206856,n02281406,n01443537,n01950731
n04552348,n04592741,n02690373,n02687172,n03444034
n03208938,n02974003,n04067472,n02769748,n03259280
n02006656,n02007558,n01440764,n03775546,n03776460
n03764736,n02909870,n02747177,n04049303,n02795169
n01930112,n07695742,n02999410,n03065424,n07720875
n01820546,n01818515,n01443537,n01537544,n01440764
n02325366,n02326432,n01877812,n02356798,n03776460
n02074367,n01847000,n01484850,n01910747,n02526121
n02408429,n02403003,n01704323,n02504013,n03868242
n04239074,n03018349,n04550184,n02870880,n04070727
n03018349,n04239074,n04589890,n01440764,n03788195
n02504458,n01871265,n02408429,n02397096,n02504013
n02090622,n02091831,n02091134,n02091244,n02113186
n02454379,n01496331,n02321529,n01498041,n03717622
n03627232,n02999410,n03000134,n03874599,n03804744
n02128385,n02130308,n02128925,n02128757,n02526121
n04099969,n03376595,n02788148,n04501370,n03201208
n02100735,n02102040,n02099712,n02101388,n02093428
n03788195,n03956157,n03220513,n04266014,n03781244
n03916031,n02815834,n03062245,n03297495,n03544143
n02422699,n07802026,n04562935,n04044716,n02793495
n01770393,n01729322,n01667114,n01742172,n01775062
n02860847,n02791270,n03958227,n04037443,n02701002
n02916936,n09835506,n03000684,n02749479,n03929855
n03874293,n03673027,n03344393,n03877845,n02859443
n03404251,n02112350,n02091467,n02105641,n02487347
n04209133,n02869837,n02807133,n04259630,n01944390
n07695742,n03786901,n02999410,n03532672,n01728572
n04336792,n03538406,n04482393,n03785016,n02797295
n04597913,n03633091,n03720891,n03954731,n04270147
n04311174,n02879718,n04591713,n04507155,n03249569
n03452741,n04515003,n03179701,n03642806,n03832673
n03384352,n03467068,n03933933,n03126707,n04366367
n04201297,n04590129,n04005630,n04286575,n03452741
n02090721,n02096177,n02105641,n02105251,n02092002
n02977058,n03857828,n03492542,n03196217,n04004767
n09835506,n02799071,n04118538,n04409515,n04039381
n03417042,n03445924,n04461696,n04467665,n04065272
n01742172,n01740131,n01744401,n01729322,n01734418
n03888257,n02692877,n09256479,n02814860,n04266014
n02782093,n03888257,n02692877,n03825788,n03775071
n07802026,n02950826,n03126707,n04037443,n04465501
n03208938,n01440764,n03776460,n03777568,n03777754
n02130308,n02128385,n01675722,n02128925,n01440764
n02117135,n02090622,n02114855,n02091134,n02115641
n02840245,n03196217,n04116512,n03729826,n04149813
n02422699,n02423022,n02422106,n01440764,n03775546
n03594945,n02704792,n03496892,n04252225,n02814533
n02437616,n02124075,n02326432,n02125311,n02422699
n03337140,n03924679,n03180011,n04070727,n04004767
n09399592,n09246464,n09472597,n09428293,n09193705
n02114712,n02129604,n02115913,n02486261,n02125311
n02489166,n02129165,n02487347,n02486261,n02488291
n04398044,n03786901,n04277352,n03379051,n04597913
n07873807,n03089624,n03207743,n03461385,n03598930
n01860187,n02403003,n01843383,n01514859,n03868242
n02930766,n04146614,n02701002,n03977966,n04487081
n04435653,n03085013,n04542943,n03733281,n02666196
n01806567,n01807496,n01797886,n01440764,n03776460
n03100240,n02814533,n03670208,n02704792,n04285008
n01582220,n02488702,n02484975,n01592084,n02483708
n07615774,n03958227,n03871628,n03937543,n02948072
n02422106,n02422699,n02417914,n02397096,n02423022
n02492035,n02494079,n02500267,n03017168,n02865351
n03908714,n15075141,n04372370,n03075370,n04125021
n07716358,n07718472,n13133613,n12144580,n07714571
n03532672,n03658185,n03804744,n04127249,n04277352
n02226429,n01798484,n01797886,n01608432,n02229544
n03891332,n02747177,n02841315,n01440764,n03775546
n04536866,n04141076,n03884397,n02672831,n02992211
n02396427,n02395406,n02105056,n02397096,n02117135
n02793495,n02859443,n03355925,n03028079,n04417672
n02098105,n02097474,n02096437,n02094114,n02091635
n01871265,n02504458,n02504013,n02481823,n02480855
n02328150,n02123394,n02086079,n02098286,n02105641
n01978287,n07697537,n07697313,n07875152,n01983481
n03899768,n04335435,n04239074,n03895866,n03457902
n03786901,n02999410,n04040759,n03532672,n03065424
n02869837,n04026417,n04599235,n02834397,n03424325
n02127052,n02123159,n01883070,n02441942,n02125311
n03680355,n03124043,n03481172,n03954731,n03255030
n02206856,n02169497,n02190166,n02165456,n02259212
n03602883,n03676483,n04074963,n03937543,n03970156
n01817953,n01795545,n02017213,n01514859,n01616318
n03733805,n02815834,n03983396,n07932039,n04560804
n03938244,n03131574,n03291819,n02808304,n03125729
n03792972,n10148035,n03534580,n03000684,n03450230
n04044716,n04355338,n03899768,n09193705,n03457902
n02965783,n04560804,n04557648,n04332243,n04493381
n03445777,n02454379,n02319095,n01917289,n04332243
n01592084,n01560419,n01580077,n01530575,n01582220
n03290653,n03529860,n04404412,n03761084,n01440764
n04479046,n03404251,n03763968,n01440764,n03775546
n07831146,n07697537,n07579787,n02776631,n07614500
n01735189,n01737021,n01729322,n01667114,n01694178
n02871525,n02977058,n02791270,n04443257,n04152593
n02870880,n03131574,n03337140,n04443257,n02871525
n03630383,n02791270,n02669723,n04311174,n03787032
n07753275,n01667778,n01775062,n01698640,n03782006
n07831146,n04270147,n07711569,n04597913,n07614500
n02526121,n07920052,n03633091,n01924916,n01944390
n01984695,n01985128,n01983481,n01981276,n01978287
n01917289,n01914609,n07714571,n02643566,n02607072
n04081281,n03724870,n04584207,n04456115,n10148035
n04286575,n03759954,n15075141,n04376876,n03255030
n03598930,n03998194,n03089624,n03891251,n04462240
n02085782,n02086079,n02086910,n02086240,n02097047
n03854065,n02699494,n04418357,n03028079,n04429376
n04009552,n03777754,n04116512,n02971356,n03976467
n03492542,n03832673,n03584254,n03642806,n03388183
n07749582,n07753592,n07747607,n07742313,n07753275
n02825657,n04486054,n09246464,n03042490,n04346328
n02807133,n04357314,n04162706,n07615774,n02786058
n02133161,n02107908,n02094258,n02500267,n02087046
n03792782,n02835271,n04336792,n04509417,n03785016
n01644900,n01697457,n01689811,n01685808,n01688243
n02317335,n13040303,n01631663,n03874599,n03532672
n03220513,n04346328,n04347754,n03788195,n03028079
n03388043,n03347037,n04332243,n04589890,n04286575
n03476684,n04116512,n03729826,n01440764,n03776460
n01828970,n02011460,n01833805,n01843065,n01843383
n02447366,n02117135,n02443484,n02361337,n02441942
n07715103,n03775071,n03775546,n03776460,n03777568
n02119789,n02114855,n02119022,n02120505,n02115913
n01729977,n01739381,n01749939,n01693334,n02526121
n03791053,n03785016,n02860847,n04252077,n03710193
n02457408,n02493509,n02488702,n02492660,n01560419
n01440764,n13133613,n13054560,n07615774,n04357314
n03598930,n01984695,n02317335,n02966193,n01981276
n04372370,n03425413,n04254120,n02815834,n03127925
n09332890,n09428293,n02793495,n09421951,n07802026
n03937543,n03935335,n04591713,n03690938,n03047690
n04154565,n02692877,n04376876,n03888257,n04033901
n04515003,n03452741,n01440764,n03775071,n03775546
n03063599,n03950228,n07930864,n03063689,n04398044
n02086079,n01534433,n03888605,n02787622,n04487394
n02091032,n02093428,n02093256,n02091134,n02109961
n02090379,n02088238,n02088364,n02089973,n02091134
n02480855,n02486410,n02410509,n02487347,n02483362
n02776631,n03461385,n04443257,n03089624,n04462240
